grid_id,lon,lat
G4949,90.21451578958091,23.678876064329664
G5066,90.21941377421689,23.6789641325188
G5183,90.22431178256575,23.679052046139248
G4950,90.21442007011805,23.683387033657073
G5067,90.21931822253738,23.68347512063042
G5184,90.22421639867324,23.68356305300213
G4951,90.21432432689707,23.68789799999292
G5068,90.21922264714136,23.687986105751737
G4831,90.20971369214601,23.674276888072285
G4714,90.20481592279516,23.674188529603644
G4715,90.20471989161403,23.67869946425736
G4598,90.19982197836629,23.678610932380224
G4832,90.20961782869944,23.67878784157485
G4599,90.19972575557499,23.68312184515733
G4716,90.20462383659525,23.683210395917513
G4833,90.20952194145681,23.683298792085097
G4600,90.19962950890081,23.687632754939113
G4717,90.20452775773519,23.687721324583595
G4246,90.18522508414779,23.67383355049219
G4363,90.19012275791309,23.673922527049527
G4247,90.18512838206473,23.678344409421147
G4481,90.19492408899775,23.678522245946457
G4364,90.19002622355005,23.678433404959087
G4482,90.19482769843758,23.683033139807588
G4248,90.18503165597768,23.682855265351495
G4365,90.1899296652246,23.682944279871293
G4483,90.19473128395293,23.687544030672132
G4249,90.18493490588303,23.687366118282743
G4015,90.17513862385816,23.687187587439723
G4133,90.1799398108971,23.691787761080754
G3899,90.17014324134827,23.691608882886577
G4016,90.17504151407364,23.691698399303792
G4134,90.17984284489354,23.696298588993763
G3900,90.17004593959024,23.69611967266357
G4017,90.174944380191,23.696209208165264
G4018,90.1748472222066,23.700720014023645
G3901,90.16994861368885,23.700630459436194
G4135,90.17974585482979,23.700809413904953
G3654,90.1614191829338,23.641810921225723
G3655,90.16132181168527,23.646321705778806
G3538,90.15642528786108,23.646231917222078
G3772,90.16621835969558,23.646411340033755
G3539,90.1563277249777,23.65074267960306
G3656,90.16122441625066,23.650832487330334
G3773,90.1661211317134,23.650922140722912
G3774,90.16602387958295,23.655432938411295
G3540,90.156230137863,23.655253438980715
G3657,90.16112699662627,23.655343265879818
G3303,90.14673018639628,23.641541150269056
G3187,90.14173586192034,23.64596162577191
G3421,90.15152878826451,23.646141974366646
G3304,90.14663231293709,23.646051877215562
G3422,90.15143105793604,23.650652717544155
G3188,90.14163779671277,23.650472330443733
G3305,90.14653441516722,23.650562601156686
G3306,90.146436493083,23.655073322091926
G3423,90.15133330333475,23.65516345771706
G3189,90.1415397071493,23.65498303210839
G3775,90.16592660330063,23.659943733098412
G3541,90.15613252651333,23.659764195354555
G3658,90.16102955280842,23.659854041426755
G3659,90.16093208479346,23.664364813970682
G3776,90.16582930286272,23.66445452478379
G3542,90.156034890925,23.66427494872411
G3660,90.16083459257771,23.6688755835111
G3543,90.15593723109433,23.66878569908888
G3777,90.16573197826557,23.66896531346693
G3661,90.16073707615749,23.673386350047526
G3424,90.15123552445692,23.659674194884882
G3190,90.14144159322626,23.659493730765405
G3307,90.14633854668071,23.659584040020807
G3425,90.1511377212989,23.664184929047135
G3308,90.14624057595668,23.664094754942838
G3191,90.14134345493991,23.664004426414287
G3309,90.1461425809072,23.66860546685753
G3426,90.15103989385698,23.668695660203333
G3192,90.14124529228658,23.668515119054554
G3310,90.14604456152858,23.6731161757644
G3193,90.14114710526255,23.67302580868571
G3427,90.15094204212745,23.67320638835298
G3311,90.14594651781712,23.677626881662952
G3428,90.15084416610667,23.6777171134956
